[15-Jul-2023 02:36:51 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Undefined constant "LOGIN_UserProfileImage" in /var/www/html/CampushalaNewProject/include/admin/header.php:62
Stack trace:
#0 /var/www/html/CampushalaNewProject/admin/account/university/edit.php(58): include()
#1 {main}
  thrown in /var/www/html/CampushalaNewProject/include/admin/header.php on line 62
[15-Jul-2023 02:37:17 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 208
[15-Jul-2023 02:37:17 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 211
[15-Jul-2023 02:37:17 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 224
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 1
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 11
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 27
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 71
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 86
[15-Jul-2023 02:41:15 Asia/Calcutta] PHP Warning:  Undefined variable $UniversitId in /var/www/html/CampushalaNewProject/include/sections/Add-New-Courses.php on line 132
[15-Jul-2023 02:46:54 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 208
[15-Jul-2023 02:46:54 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 211
[15-Jul-2023 02:46:54 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 224
[15-Jul-2023 02:47:26 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 208
[15-Jul-2023 02:47:26 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$univ_course_id in /var/www/html/CampushalaNewProject/admin/account/university/edit.php on line 211
